Squad_Code,Squad Name,Text
44117292,DC-United,DC-United-Match-Logs-Major-League-Soccer
0d885416,Houston-Dynamo,Houston-Dynamo-Match-Logs-Major-League-Soccer
130f43fa,Toronto-FC,Toronto-FC-Match-Logs-Major-League-Soccer
15cf8f40,FC-Dallas,FC-Dallas-Match-Logs-Major-League-Soccer
1ebc1a5b,Atlanta-United,Atlanta-United-Match-Logs-Major-League-Soccer
35f1b818,Nashville-SC,Nashville-SC-Match-Logs-Major-League-Soccer
3c079def,New-England-Revolution,New-England-Revolution-Match-Logs-Major-League-Soccer
415b4465,Colorado-Rapids,Colorado-Rapids-Match-Logs-Major-League-Soccer
46ef01d0,Orlando-City,Orlando-City-Match-Logs-Major-League-Soccer
4acb0537,Sporting-KC,Sporting-KC-Match-Logs-Major-League-Soccer
529ba333,Columbus-Crew,Columbus-Crew-Match-Logs-Major-League-Soccer
6218ebd4,Seattle-Sounders-FC,Seattle-Sounders-FC-Match-Logs-Major-League-Soccer
64e81410,New-York-City-FC,New-York-City-FC-Match-Logs-Major-League-Soccer
69a0fb10,New-York-Red-Bulls,New-York-Red-Bulls-Match-Logs-Major-League-Soccer
81d817a3,Los-Angeles-FC,Los-Angeles-FC-Match-Logs-Major-League-Soccer
99ea75a6,Minnesota-United,Minnesota-United-Match-Logs-Major-League-Soccer
ab41cb90,Vancouver-Whitecaps-FC,Vancouver-Whitecaps-FC-Match-Logs-Major-League-Soccer
b918956d,Austin-FC,Austin-FC-Match-Logs-Major-League-Soccer
ca460650,San-Jose-Earthquakes,San-Jose-Earthquakes-Match-Logs-Major-League-Soccer
cb8b86a2,Inter-Miami,Inter-Miami-Match-Logs-Major-League-Soccer
d076914e,Portland-Timbers,Portland-Timbers-Match-Logs-Major-League-Soccer
d8b46897,LA-Galaxy,LA-Galaxy-Match-Logs-Major-League-Soccer
e9ea41b2,FC-Cincinnati,FC-Cincinnati-Match-Logs-Major-League-Soccer
eb57545a,Charlotte-FC,Charlotte-FC-Match-Logs-Major-League-Soccer
f7d86a43,Real-Salt-Lake,Real-Salt-Lake-Match-Logs-Major-League-Soccer
f9940243,Chicago-Fire,Chicago-Fire-Match-Logs-Major-League-Soccer
fc22273c,CF-Montreal,CF-Montreal-Match-Logs-Major-League-Soccer
