Squad_Code,Squad Name,Text
7a54bb4f,Ajaccio,Ajaccio-Match-Logs-All-Competitions
78ecf4bb,Almeria,Almeria-Match-Logs-All-Competitions
69236f98,Angers,Angers-Match-Logs-All-Competitions
18bb7c10,Arsenal,Arsenal-Match-Logs-All-Competitions
8602292d,Aston-Villa,Aston-Villa-Match-Logs-All-Competitions
922493f3,Atalanta,Atalanta-Match-Logs-All-Competitions
2b390eca,Athletic-Club,Athletic-Club-Match-Logs-All-Competitions
db3b9613,Atletico-Madrid,Atletico-Madrid-Match-Logs-All-Competitions
0cdc4311,Augsburg,Augsburg-Match-Logs-All-Competitions
5ae09109,Auxerre,Auxerre-Match-Logs-All-Competitions
206d90db,Barcelona,Barcelona-Match-Logs-All-Competitions
c7a9f859,Bayer-Leverkusen,Bayer-Leverkusen-Match-Logs-All-Competitions
054efa67,Bayern-Munich,Bayern-Munich-Match-Logs-All-Competitions
b42c6323,Bochum,Bochum-Match-Logs-All-Competitions
1d8099f8,Bologna,Bologna-Match-Logs-All-Competitions
4ba7cbea,Bournemouth,Bournemouth-Match-Logs-All-Competitions
cd051869,Brentford,Brentford-Match-Logs-All-Competitions
fb08dbb3,Brest,Brest-Match-Logs-All-Competitions
d07537b9,Brighton-and-Hove-Albion,Brighton-and-Hove-Albion-Match-Logs-All-Competitions
ee7c297c,Cadiz,Cadiz-Match-Logs-All-Competitions
f25da7fb,Celta-Vigo,Celta-Vigo-Match-Logs-All-Competitions
cff3d9bb,Chelsea,Chelsea-Match-Logs-All-Competitions
d9676424,Clermont-Foot,Clermont-Foot-Match-Logs-All-Competitions
9aad3a77,Cremonese,Cremonese-Match-Logs-All-Competitions
47c64c55,Crystal-Palace,Crystal-Palace-Match-Logs-All-Competitions
add600ae,Dortmund,Dortmund-Match-Logs-All-Competitions
f0ac8ee6,Eintracht-Frankfurt,Eintracht-Frankfurt-Match-Logs-All-Competitions
6c8b07df,Elche,Elche-Match-Logs-All-Competitions
a3d88bd8,Empoli,Empoli-Match-Logs-All-Competitions
a8661628,Espanyol,Espanyol-Match-Logs-All-Competitions
d3fd31cc,Everton,Everton-Match-Logs-All-Competitions
ae1e2d7d,Fenerbahce,Fenerbahce-Match-Logs-All-Competitions
421387cf,Fiorentina,Fiorentina-Match-Logs-All-Competitions
a486e511,Freiburg,Freiburg-Match-Logs-All-Competitions
fd962109,Fulham,Fulham-Match-Logs-All-Competitions
7848bd64,Getafe,Getafe-Match-Logs-All-Competitions
0e72edf2,Hellas-Verona,Hellas-Verona-Match-Logs-All-Competitions
2818f8bc,Hertha-BSC,Hertha-BSC-Match-Logs-All-Competitions
033ea6b8,Hoffenheim,Hoffenheim-Match-Logs-All-Competitions
d609edc0,Internazionale,Internazionale-Match-Logs-All-Competitions
e0652b02,Juventus,Juventus-Match-Logs-All-Competitions
bc357bf7,Koln,Koln-Match-Logs-All-Competitions
7213da33,Lazio,Lazio-Match-Logs-All-Competitions
ffcbe334,Lecce,Lecce-Match-Logs-All-Competitions
5bfb9659,Leeds-United,Leeds-United-Match-Logs-All-Competitions
a2d435b3,Leicester-City,Leicester-City-Match-Logs-All-Competitions
fd4e0f7d,Lens,Lens-Match-Logs-All-Competitions
cb188c0c,Lille,Lille-Match-Logs-All-Competitions
822bd0ba,Liverpool,Liverpool-Match-Logs-All-Competitions
d2c87802,Lorient,Lorient-Match-Logs-All-Competitions
d53c0b06,Lyon,Lyon-Match-Logs-All-Competitions
a224b06a,Mainz-05,Mainz-05-Match-Logs-All-Competitions
2aa12281,Mallorca,Mallorca-Match-Logs-All-Competitions
b8fd03ef,Manchester-City,Manchester-City-Match-Logs-All-Competitions
19538871,Manchester-United,Manchester-United-Match-Logs-All-Competitions
5725cc7b,Marseille,Marseille-Match-Logs-All-Competitions
dc56fe14,Milan,Milan-Match-Logs-All-Competitions
32f3ee20,Monchengladbach,Monchengladbach-Match-Logs-All-Competitions
281b0e73,Montpellier,Montpellier-Match-Logs-All-Competitions
21680aa4,Monza,Monza-Match-Logs-All-Competitions
d7a486cd,Nantes,Nantes-Match-Logs-All-Competitions
d48ad4ff,Napoli,Napoli-Match-Logs-All-Competitions
b2b47a98,Newcastle-United,Newcastle-United-Match-Logs-All-Competitions
132ebc33,Nice,Nice-Match-Logs-All-Competitions
e4a775cb,Nottingham-Forest,Nottingham-Forest-Match-Logs-All-Competitions
03c57e2b,Osasuna,Osasuna-Match-Logs-All-Competitions
e2d8892c,Paris-Saint-Germain,Paris-Saint-Germain-Match-Logs-All-Competitions
46024eeb,Philadelphia-Union,Philadelphia-Union-Match-Logs-All-Competitions
98e8af82,Rayo-Vallecano,Rayo-Vallecano-Match-Logs-All-Competitions
acbb6a5b,RB-Leipzig,RB-Leipzig-Match-Logs-All-Competitions
fc536746,Real-Betis,Real-Betis-Match-Logs-All-Competitions
53a2f082,Real-Madrid,Real-Madrid-Match-Logs-All-Competitions
e31d1cd9,Real-Sociedad,Real-Sociedad-Match-Logs-All-Competitions
7fdd64e0,Reims,Reims-Match-Logs-All-Competitions
b3072e00,Rennes,Rennes-Match-Logs-All-Competitions
cf74a709,Roma,Roma-Match-Logs-All-Competitions
c5577084,Salernitana,Salernitana-Match-Logs-All-Competitions
8ff9e3b3,Sampdoria,Sampdoria-Match-Logs-All-Competitions
e2befd26,Sassuolo,Sassuolo-Match-Logs-All-Competitions
c539e393,Schalke-04,Schalke-04-Match-Logs-All-Competitions
ad2be733,Sevilla,Sevilla-Match-Logs-All-Competitions
33c895d4,Southampton,Southampton-Match-Logs-All-Competitions
68449f6d,Spezia,Spezia-Match-Logs-All-Competitions
8917b8a9,Sporting-Cristal,Sporting-Cristal-Match-Logs-All-Competitions
c0d3eab4,Strasbourg,Strasbourg-Match-Logs-All-Competitions
598bc722,Stuttgart,Stuttgart-Match-Logs-All-Competitions
105360fe,Torino,Torino-Match-Logs-All-Competitions
361ca564,Tottenham-Hotspur,Tottenham-Hotspur-Match-Logs-All-Competitions
