Squad_Code,Squad_Name,Text
2fbdf057,1860-Munich,1860-Munich-Match-Logs-All-Competitions
3b40c85f,1874-Northwich-FC,1874-Northwich-FC-Match-Logs-All-Competitions
cf1eed21,1-CfR-Pforzheim,1-CfR-Pforzheim-Match-Logs-All-Competitions
d135e533,1-FC-Duren,1-FC-Duren-Match-Logs-All-Competitions
75515a4a,1-FC-Germania-EgestorfLangreder,1-FC-Germania-EgestorfLangreder-Match-Logs-All-Competitions
74c507da,1-FC-Kaan-Marienborn-07,1-FC-Kaan-Marienborn-07-Match-Logs-All-Competitions
743a93f0,1-FC-Lok-Stendal,1-FC-Lok-Stendal-Match-Logs-All-Competitions
5fa36836,1FC-Monchengladbach,1FC-Monchengladbach-Match-Logs-All-Competitions
dfc25351,1-FC-Neubrandenburg-04,1-FC-Neubrandenburg-04-Match-Logs-All-Competitions
d60ee088,1-FFC-08-Niederkirchen,1-FFC-08-Niederkirchen-Match-Logs-All-Competitions
66060a29,1-FFV-Erfurt,1-FFV-Erfurt-Match-Logs-All-Competitions
eb207015,Aalen,Aalen-Match-Logs-All-Competitions
912dc50a,Abbey-Hey-FC,Abbey-Hey-FC-Match-Logs-All-Competitions
d509b648,Abbey-Rangers-FC,Abbey-Rangers-FC-Match-Logs-All-Competitions
d7bd6336,Abingdon-Town,Abingdon-Town-Match-Logs-All-Competitions
bbbaafbd,Abingdon-United-FC,Abingdon-United-FC-Match-Logs-All-Competitions
06c26259,AC-Basse-Goulaine,AC-Basse-Goulaine-Match-Logs-All-Competitions
475b29b6,AC-Cambrai,AC-Cambrai-Match-Logs-All-Competitions
75edd4df,AC-Chapelain-Foot,AC-Chapelain-Foot-Match-Logs-All-Competitions
da610b0b,Accrington,Accrington-Match-Logs-All-Competitions
9172ba36,Accrington-Stanley,Accrington-Stanley-Match-Logs-All-Competitions
a77b6332,AC-London-FC,AC-London-FC-Match-Logs-All-Competitions
433dc32c,AC-Paris-15,AC-Paris-15-Match-Logs-All-Competitions
cf001bc5,AC-Pouzauges-Reaumur,AC-Pouzauges-Reaumur-Match-Logs-All-Competitions
9555a089,AC-Seyssinet,AC-Seyssinet-Match-Logs-All-Competitions
c9ff0fe4,AF-Bobigny,AF-Bobigny-Match-Logs-All-Competitions
1555fd41,AFC-Bridgnorth,AFC-Bridgnorth-Match-Logs-All-Competitions
e20fb8d5,AFC-Compiegne,AFC-Compiegne-Match-Logs-All-Competitions
6deb77ba,AFC-Creil,AFC-Creil-Match-Logs-All-Competitions
8ad6bf1a,AFC-Croydon-Athletic,AFC-Croydon-Athletic-Match-Logs-All-Competitions
4acff3a3,AFC-Dunstable,AFC-Dunstable-Match-Logs-All-Competitions
20223719,AFC-Emley,AFC-Emley-Match-Logs-All-Competitions
1090c42d,AFC-Hayes,AFC-Hayes-Match-Logs-All-Competitions
8b612604,AFC-Hornchurch,AFC-Hornchurch-Match-Logs-All-Competitions
9d333d4d,AFC-Kempston-Rovers,AFC-Kempston-Rovers-Match-Logs-All-Competitions
e84ae6e6,AFC-Liverpool,AFC-Liverpool-Match-Logs-All-Competitions
378d1fb0,AFC-Mansfield,AFC-Mansfield-Match-Logs-All-Competitions
b9bb5e8b,AFC-Portchester,AFC-Portchester-Match-Logs-All-Competitions
738b3084,AFC-Rushden-and-Diamonds,AFC-Rushden-and-Diamonds-Match-Logs-All-Competitions
67eb4d7c,AFC-St-Austell,AFC-St-Austell-Match-Logs-All-Competitions
92bbdde1,AFC-Stoneham,AFC-Stoneham-Match-Logs-All-Competitions
d06d7955,AFC-Sudbury,AFC-Sudbury-Match-Logs-All-Competitions
336080cb,AFC-Totton,AFC-Totton-Match-Logs-All-Competitions
82d74a31,AFC-Uckfield,AFC-Uckfield-Match-Logs-All-Competitions
feb81768,AFC-Varndeanians-FC,AFC-Varndeanians-FC-Match-Logs-All-Competitions
8b9bf22a,AFC-Wimbledon,AFC-Wimbledon-Match-Logs-All-Competitions
0057a3e8,AFC-Wulfrunians,AFC-Wulfrunians-Match-Logs-All-Competitions
8fc9af77,AF-Lozere,AF-Lozere-Match-Logs-All-Competitions
946f0eef,AF-Virois,AF-Virois-Match-Logs-All-Competitions
9dcf2f81,AG-Caennaise,AG-Caennaise-Match-Logs-All-Competitions
d5501d62,AGL-Drapeau-Fougeres,AGL-Drapeau-Fougeres-Match-Logs-All-Competitions
22c09819,Aiglon-du-Lamentin,Aiglon-du-Lamentin-Match-Logs-All-Competitions
8bd1d0ff,Ailly-sur-Somme-FC,Ailly-sur-Somme-FC-Match-Logs-All-Competitions
f83ef755,Ain-Sud-Foot,Ain-Sud-Foot-Match-Logs-All-Competitions
3f5bc7c0,AJ-Petite-Ile,AJ-Petite-Ile-Match-Logs-All-Competitions
6a5ea615,AJ-Saint-Georges,AJ-Saint-Georges-Match-Logs-All-Competitions
adf64e0d,Albi,Albi-Match-Logs-All-Competitions
35e5e699,Albion-Sports-AFC,Albion-Sports-AFC-Match-Logs-All-Competitions
a8290768,Aldershot-Town,Aldershot-Town-Match-Logs-All-Competitions
3659060d,Alemannia-Aachen,Alemannia-Aachen-Match-Logs-All-Competitions
600a2e7a,Alfold-FC,Alfold-FC-Match-Logs-All-Competitions
0ec6c3db,Alfreton-Town,Alfreton-Town-Match-Logs-All-Competitions
99c75420,Alresford-Town-FC,Alresford-Town-FC-Match-Logs-All-Competitions
ba3f43b8,Alsager-Town-FC,Alsager-Town-FC-Match-Logs-All-Competitions
e2225bcd,Alton-Town-FC,Alton-Town-FC-Match-Logs-All-Competitions
b30f94be,Altrincham,Altrincham-Match-Logs-All-Competitions
5b03fc2d,Alvechurch-FC,Alvechurch-FC-Match-Logs-All-Competitions
4bb5ca36,Amesbury-Town-FC,Amesbury-Town-FC-Match-Logs-All-Competitions
25622401,Amiens,Amiens-Match-Logs-All-Competitions
6917ef41,Amiens-AC,Amiens-AC-Match-Logs-All-Competitions
a661d0a0,AMS-Merpins,AMS-Merpins-Match-Logs-All-Competitions
014e7411,Ancienne-de-Chateau-Gontier,Ancienne-de-Chateau-Gontier-Match-Logs-All-Competitions
08ad393c,Anderlecht,Anderlecht-Match-Logs-All-Competitions
fbaa2eb3,Andover-New-Street-FC,Andover-New-Street-FC-Match-Logs-All-Competitions
1ef7fad6,Andover-Town-FC,Andover-Town-FC-Match-Logs-All-Competitions
dc1dd993,Angouleme-CFC,Angouleme-CFC-Match-Logs-All-Competitions
c94d9135,Annecy-FC,Annecy-FC-Match-Logs-All-Competitions
cdb9a4a5,Anstey-Nomads-FC,Anstey-Nomads-FC-Match-Logs-All-Competitions
c2e6b53b,Antwerp,Antwerp-Match-Logs-All-Competitions
47d5d984,APM-Metz,APM-Metz-Match-Logs-All-Competitions
336350ae,Ardley-United-FC,Ardley-United-FC-Match-Logs-All-Competitions
e95faa7f,Arles-Avignon,Arles-Avignon-Match-Logs-All-Competitions
3625eed4,Arlesey-Town-FC,Arlesey-Town-FC-Match-Logs-All-Competitions
247c4b67,Arminia-Bielefeld,Arminia-Bielefeld-Match-Logs-All-Competitions
fc986573,Armthorpe-Welfare-FC,Armthorpe-Welfare-FC-Match-Logs-All-Competitions
d929fedb,Arras-Football,Arras-Football-Match-Logs-All-Competitions
84241c78,Arundel-FC,Arundel-FC-Match-Logs-All-Competitions
4fa24c7e,AS-Aix,AS-Aix-Match-Logs-All-Competitions
e0fae827,AS-Aixoise,AS-Aixoise-Match-Logs-All-Competitions
