Squad_Code,Year,Name,Text
636fc976,2023,Daniel,Daniel-Match-Logs
d899e3bf,2023,Brad-Guzan,Brad-Guzan-Match-Logs
901408ac,2023,James-Pantemis,James-Pantemis-Match-Logs
ed6320b7,2023,Steve-Clark,Steve-Clark-Match-Logs
6a1940d5,2023,Brad-Stuver,Brad-Stuver-Match-Logs
e6f22a6b,2023,Luis-Barraza,Luis-Barraza-Match-Logs
c4d9567d,2023,Drake-Callender,Drake-Callender-Match-Logs
42ba8628,2023,Roman-Celentano,Roman-Celentano-Match-Logs
5c07e176,2023,Carlos-Coronel,Carlos-Coronel-Match-Logs
52be0b7d,2023,Yohei-Takaoka,Yohei-Takaoka-Match-Logs
9d12e142,2023,Roman-Burki,Roman-Burki-Match-Logs
b3b21a11,2023,Andre-Blake,Andre-Blake-Match-Logs
b76e1394,2023,Pedro-Gallese,Pedro-Gallese-Match-Logs
7827a6b3,2023,Tyler-Miller,Tyler-Miller-Match-Logs
3f41d25f,2023,Dayne-St-Clair,Dayne-St-Clair-Match-Logs
5.51E+06,2023,Pablo-Sisniega,Pablo-Sisniega-Match-Logs
5dc34eaa,2023,Jonathan-Sirois,Jonathan-Sirois-Match-Logs
06caac45,2023,Zac-MacMath,Zac-MacMath-Match-Logs
0cf321c8,2023,Djordje-Petrovic,Djordje-Petrovic-Match-Logs
c164335e,2023,Sean-Johnson,Sean-Johnson-Match-Logs
467f09c8,2023,Joe-Willis,Joe-Willis-Match-Logs
eb343262,2023,Maarten-Paes,Maarten-Paes-Match-Logs
b8f47d7c,2023,Patrick-Schulte,Patrick-Schulte-Match-Logs
a79b9e17,2023,Njabulo-Blom,Njabulo-Blom-Match-Logs
122e850d,2023,Romell-Quioto,Romell-Quioto-Match-Logs
1bb2acce,2023,Paul-Arriola,Paul-Arriola-Match-Logs
ab070c55,2023,Christian-Benteke,Christian-Benteke-Match-Logs
782a95d9,2023,Miles-Robinson,Miles-Robinson-Match-Logs
6c8fb474,2023,Maximiliano-Urruti,Maximiliano-Urruti-Match-Logs
339a2561,2023,Jacob-Shaffelburg,Jacob-Shaffelburg-Match-Logs
3778339c,2023,Aidan-Morris,Aidan-Morris-Match-Logs
a295f0b3,2023,Nelson-Quinones,Nelson-Quinones-Match-Logs
db6540c5,2023,Franco-Ibarra,Franco-Ibarra-Match-Logs
336dbcb2,2023,Adama-Diomande,Adama-Diomande-Match-Logs
df8c4d49,2023,John-Nelson,John-Nelson-Match-Logs
23c75879,2023,Henry-Kessler,Henry-Kessler-Match-Logs
540a5be1,2023,Ali-Ahmed,Ali-Ahmed-Match-Logs
6bfa0d3a,2023,Michael-Boxall,Michael-Boxall-Match-Logs
9fcd12af,2023,Brandon-Bye,Brandon-Bye-Match-Logs
70678132,2023,Eduard-Lowen,Eduard-Lowen-Match-Logs
8ef72983,2023,McKinze-Gaines,McKinze-Gaines-Match-Logs
7f35d14e,2023,Tristan-Blackmon,Tristan-Blackmon-Match-Logs
59059f1e,2023,Derrick-Etienne,Derrick-Etienne-Match-Logs
dc590664,2023,Chinonso-Offor,Chinonso-Offor-Match-Logs
5e88c524,2023,John-Tolkin,John-Tolkin-Match-Logs
c8364e8e,2023,Jose-Andres-Martinez,Jose-Andres-Martinez-Match-Logs
67d3d023,2023,Kristian-Fletcher,Kristian-Fletcher-Match-Logs
0aaa1c04,2023,Justin-Rennicks,Justin-Rennicks-Match-Logs
cfed08d5,2023,Matai-Akinmboni,Matai-Akinmboni-Match-Logs
ee93c1a9,2023,Federico-Bernardeschi,Federico-Bernardeschi-Match-Logs
8344adf5,2023,Jackson-Hopkins,Jackson-Hopkins-Match-Logs
8ca5c176,2023,Robin-Jansson,Robin-Jansson-Match-Logs
