Squad_Code,Year,Name,Text
861e0116,2018-2019,Kostas-Stafylidis,Kostas-Stafylidis-Match-Logs
4701e130,2018-2019,Tyreke-Johnson,Tyreke-Johnson-Match-Logs
05816e19,2018-2019,Juan-Ferney-Otero,Juan-Ferney-Otero-Match-Logs
3799e138,2018-2019,Everton-Luiz,Everton-Luiz-Match-Logs
19053e31,2018-2019,Sofiane-Diop,Sofiane-Diop-Match-Logs
4611e028,2018-2019,Erick-Pulgar,Erick-Pulgar-Match-Logs
4601e194,2018-2019,Jordi-Alba,Jordi-Alba-Match-Logs
8794e251,2018-2019,Adrien-Rabiot,Adrien-Rabiot-Match-Logs
5314e067,2018-2019,Sofiane-Alakouch,Sofiane-Alakouch-Match-Logs
22919e97,2019-2020,Sargis-Adamyan,Sargis-Adamyan-Match-Logs
30941e96,2019-2020,Angelino,Angelino-Match-Logs
767212e6,2019-2020,Julien-Faussurier,Julien-Faussurier-Match-Logs
4601e194,2019-2020,Jordi-Alba,Jordi-Alba-Match-Logs
4611e028,2019-2020,Erick-Pulgar,Erick-Pulgar-Match-Logs
5314e067,2019-2020,Sofiane-Alakouch,Sofiane-Alakouch-Match-Logs
249362e9,2022,John-McCarthy,John-McCarthy-Match-Logs
550557e1,2022,Pablo-Sisniega,Pablo-Sisniega-Match-Logs
550557e1,2023,Pablo-Sisniega,Pablo-Sisniega-Match-Logs
22919e97,2022-2023,Sargis-Adamyan,Sargis-Adamyan-Match-Logs
861e0116,2022-2023,Kostas-Stafylidis,Kostas-Stafylidis-Match-Logs
8794e251,2022-2023,Adrien-Rabiot,Adrien-Rabiot-Match-Logs
30941e96,2022-2023,Angelino,Angelino-Match-Logs
15937e17,2022-2023,Eray-Comert,Eray-Comert-Match-Logs
3322e296,2022-2023,Antoine-Mendy,Antoine-Mendy-Match-Logs
4601e194,2022-2023,Jordi-Alba,Jordi-Alba-Match-Logs
19053e31,2022-2023,Sofiane-Diop,Sofiane-Diop-Match-Logs
9939e168,2022-2023,Jon-Moncayola,Jon-Moncayola-Match-Logs
700783e7,2022-2023,Levi-Colwill,Levi-Colwill-Match-Logs
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
