Squad Code,Text
a79b9e17,Njabulo-Blom-Match-Logs
122e850d,Romell-Quioto-Match-Logs
1bb2acce,Paul-Arriola-Match-Logs
ab070c55,Christian-Benteke-Match-Logs
782a95d9,Miles-Robinson-Match-Logs
6c8fb474,Maximiliano-Urruti-Match-Logs
339a2561,Jacob-Shaffelburg-Match-Logs
3778339c,Aidan-Morris-Match-Logs
a295f0b3,Nelson-Quinones-Match-Logs
db6540c5,Franco-Ibarra-Match-Logs
336dbcb2,Adama-Diomande-Match-Logs
df8c4d49,John-Nelson-Match-Logs
23c75879,Henry-Kessler-Match-Logs
540a5be1,Ali-Ahmed-Match-Logs
6bfa0d3a,Michael-Boxall-Match-Logs
9fcd12af,Brandon-Bye-Match-Logs
70678132,Eduard-Lowen-Match-Logs
8ef72983,McKinze-Gaines-Match-Logs
7f35d14e,Tristan-Blackmon-Match-Logs
59059f1e,Derrick-Etienne-Match-Logs
dc590664,Chinonso-Offor-Match-Logs
5e88c524,John-Tolkin-Match-Logs
c8364e8e,Jose-Andres-Martinez-Match-Logs
67d3d023,Kristian-Fletcher-Match-Logs
0aaa1c04,Justin-Rennicks-Match-Logs
cfed08d5,Matai-Akinmboni-Match-Logs
ee93c1a9,Federico-Bernardeschi-Match-Logs
8344adf5,Jackson-Hopkins-Match-Logs
8ca5c176,Robin-Jansson-Match-Logs
cc120b4f,Julio-Cascante-Match-Logs
3ff2c3ca,Sean-Rea-Match-Logs
6219c704,Darlington-Nagbe-Match-Logs
582952f2,Teenage-Hadebe-Match-Logs
f907a6a8,Anderson-Julio-Match-Logs
bcbc53d5,Tsiki-Ntsabeleng-Match-Logs
552898bd,Ethan-Bartlow-Match-Logs
72a0f655,Kevin-OToole-Match-Logs
9694c407,Mitja-Ilenic-Match-Logs
4d825a2d,Brandon-Servania-Match-Logs
7827a6b3,Tyler-Miller-Match-Logs
03a446a2,Benjamin-Cremaschi-Match-Logs
16349210,Alan-Velasco-Match-Logs
8c1b17b3,Sean-Nealis-Match-Logs
a065e877,Cristian-Dajome-Match-Logs
220fa883,Walker-Zimmerman-Match-Logs
39fde61c,Cory-Burke-Match-Logs
229cd98a,Sergio-Cordova-Match-Logs
c8e65157,Milos-Degenek-Match-Logs
3f41d25f,Dayne-St-Clair-Match-Logs
36292031,Yaw-Yeboah-Match-Logs
3077fce8,Teal-Bunbury-Match-Logs
5777eca0,Sigurd-Rosted-Match-Logs
9b40a6ea,Andres-Cubas-Match-Logs
ea93bcd9,Mohanad-Jeahze-Match-Logs
3ba95f20,Tomas-Ostrak-Match-Logs
de9952b5,Bongokuhle-Hlongwane-Match-Logs
2f91124d,Alvas-Powell-Match-Logs
1c9838aa,Luis-Diaz-Match-Logs
db97d838,Daniel-Lovitz-Match-Logs
fe11d61b,Benjamin-Kikanovic-Match-Logs
1cfa6e1a,Jackson-Conway-Match-Logs
d86e3070,Aaron-Herrera-Match-Logs
7f19cbe0,Elias-Manoel-Match-Logs
f0d23e7b,Zarek-Valentin-Match-Logs
87fe8526,Hany-Mukhtar-Match-Logs
9c794a80,Cristian-Espinoza-Match-Logs
fdc715d9,Kai-Wagner-Match-Logs
672f4300,Joshua-Yaro-Match-Logs
4988a44d,Tim-Parker-Match-Logs
950ef017,Tani-Oluwaseyi-Match-Logs
a5532e80,Miguel-Berry-Match-Logs
fa18c72e,Luiz-Araujo-Match-Logs
901408ac,James-Pantemis-Match-Logs
b8862e65,Daniel-Pereira-Match-Logs
ed6320b7,Steve-Clark-Match-Logs
017459bb,Mathieu-Choiniere-Match-Logs
495945ef,Ashley-Westwood-Match-Logs
9edc70d6,Owen-Wolff-Match-Logs
b4caa0c5,Brooklyn-Raines-Match-Logs
fa21bbc8,Tate-Schmitt-Match-Logs
f2a68b97,Carlos-Akapo-Match-Logs
6c1221d6,Alexander-Ring-Match-Logs
81039302,Mohamed-Farsi-Match-Logs
f5ae006d,Klauss-Match-Logs
891f8b82,Bode-Davis-Match-Logs
5e2a4d0e,Matt-Hedges-Match-Logs
f2dd9a21,Carlos-Gruezo-Match-Logs
52be0b7d,Yohei-Takaoka-Match-Logs
0c6f2fa6,Jack-Maher-Match-Logs
636fc976,Daniel-Match-Logs
6ad16d47,Rudy-Camacho-Match-Logs
1835f053,Juan-Jose-Sanchez-Match-Logs
5bb02df4,Rodrigo-Schlegel-Match-Logs
cba16a46,Yuya-Kubo-Match-Logs
cb75cac9,Sean-Davis-Match-Logs
5b768b0f,Justen-Glad-Match-Logs
c839e1b2,Tayvon-Gray-Match-Logs
ec80ba72,Brooks-Lennon-Match-Logs
e2b8c25c,Jack-McGlynn-Match-Logs
5c07e176,Carlos-Coronel-Match-Logs
5b33b84c,Facundo-Quignon-Match-Logs
517b7bf5,Geovane-Match-Logs
76a82373,Carlos-Gomez-Match-Logs
b33c6ed5,Jacen-Russell-Rowe-Match-Logs
9e6b2ec3,Kyle-Smith-Match-Logs
3d47c1ad,Noel-Buck-Match-Logs
35c95bb2,Ramiro-Enrique-Match-Logs
ac65aef3,Jakob-Glesnes-Match-Logs
a8542814,Hector-Herrera-Match-Logs
2822f3dd,Damien-Rivera-Match-Logs
9c146b36,Pedro-Vite-Match-Logs
527d0e31,Daniel-Gazdag-Match-Logs
622986f0,Omir-Fernandez-Match-Logs
92f62cfe,Quinn-Sullivan-Match-Logs
ef7c10e0,Theodore-Ku-Dipietro-Match-Logs
a535dbc6,Enzo-Copetti-Match-Logs
282679b4,Mateusz-Klich-Match-Logs
874a5031,Randall-Leal-Match-Logs
894b41c5,Michael-Baldisimo-Match-Logs
9d83969b,Adilson-Malanda-Match-Logs
fdd60087,Santiago-Arias-Match-Logs
b76e1394,Pedro-Gallese-Match-Logs
214d2406,Ayo-Akinola-Match-Logs
60e86875,Sebastian-Driussi-Match-Logs
292a652a,Serhiy-Kryvtsov-Match-Logs
