Squad_Code,Year,Name,Text
636fc976,2023,Daniel,Daniel-Match-Logs
d899e3bf,2023,Brad-Guzan,Brad-Guzan-Match-Logs
901408ac,2023,James-Pantemis,James-Pantemis-Match-Logs
ed6320b7,2023,Steve-Clark,Steve-Clark-Match-Logs
6a1940d5,2023,Brad-Stuver,Brad-Stuver-Match-Logs
e6f22a6b,2023,Luis-Barraza,Luis-Barraza-Match-Logs
c4d9567d,2023,Drake-Callender,Drake-Callender-Match-Logs
42ba8628,2023,Roman-Celentano,Roman-Celentano-Match-Logs
5c07e176,2023,Carlos-Coronel,Carlos-Coronel-Match-Logs
52be0b7d,2023,Yohei-Takaoka,Yohei-Takaoka-Match-Logs
9d12e142,2023,Roman-Burki,Roman-Burki-Match-Logs
b3b21a11,2023,Andre-Blake,Andre-Blake-Match-Logs
b76e1394,2023,Pedro-Gallese,Pedro-Gallese-Match-Logs
7827a6b3,2023,Tyler-Miller,Tyler-Miller-Match-Logs
3f41d25f,2023,Dayne-St-Clair,Dayne-St-Clair-Match-Logs
5.51E+06,2023,Pablo-Sisniega,Pablo-Sisniega-Match-Logs
5dc34eaa,2023,Jonathan-Sirois,Jonathan-Sirois-Match-Logs
06caac45,2023,Zac-MacMath,Zac-MacMath-Match-Logs
0cf321c8,2023,Djordje-Petrovic,Djordje-Petrovic-Match-Logs
c164335e,2023,Sean-Johnson,Sean-Johnson-Match-Logs
467f09c8,2023,Joe-Willis,Joe-Willis-Match-Logs
eb343262,2023,Maarten-Paes,Maarten-Paes-Match-Logs
b8f47d7c,2023,Patrick-Schulte,Patrick-Schulte-Match-Logs
87436846,2022-2023,Marvin-Schwabe,Marvin-Schwabe-Match-Logs
cc1a0c57,2022-2023,Jeroen-Zoet,Jeroen-Zoet-Match-Logs
4b40d9ca,2022-2023,Nick-Pope,Nick-Pope-Match-Logs
5c4bf6ba,2022-2023,Robin-Zentner,Robin-Zentner-Match-Logs
6a713852,2022-2023,Robert-Sanchez,Robert-Sanchez-Match-Logs
3d214e5f,2022-2023,Marco-Bizot,Marco-Bizot-Match-Logs
20b9f052,2022-2023,Pau-Lopez,Pau-Lopez-Match-Logs
3bb7b8b4,2022-2023,Ederson,Ederson-Match-Logs
01b8a2b2,2022-2023,Wojciech-Szczesny,Wojciech-Szczesny-Match-Logs
5dcf3e90,2022-2023,Unai-Simon,Unai-Simon-Match-Logs
a111cf41,2022-2023,Juan-Musso,Juan-Musso-Match-Logs
0d422df7,2022-2023,Marco-Silvestri,Marco-Silvestri-Match-Logs
c631f952,2022-2023,Jonas-Omlin,Jonas-Omlin-Match-Logs
8a6ab963,2022-2023,Andrey-Lunyov,Andrey-Lunyov-Match-Logs
10072610,2022-2023,Claudio-Bravo,Claudio-Bravo-Match-Logs
4e7db402,2022-2023,Alban-Lafont,Alban-Lafont-Match-Logs
bdedffac,2022-2023,Orjan-Nyland,Orjan-Nyland-Match-Logs
63d17038,2022-2023,Paulo-Gazzaniga,Paulo-Gazzaniga-Match-Logs
9f941969,2022-2023,Manuel-Riemann,Manuel-Riemann-Match-Logs
fcb38f57,2022-2023,Mike-Maignan,Mike-Maignan-Match-Logs
903b6e8b,2022-2023,Jose-Sa,Jose-Sa-Match-Logs
d3ce0e89,2022-2023,Danny-Ward,Danny-Ward-Match-Logs
a4995f48,2022-2023,Sergio-Herrera,Sergio-Herrera-Match-Logs
e358587b,2022-2023,Pepe-Reina,Pepe-Reina-Match-Logs
1e43fad8,2022-2023,Ralf-Fahrmann,Ralf-Fahrmann-Match-Logs
9d420dad,2022-2023,Yahia-Fofana,Yahia-Fofana-Match-Logs
4c62d0c8,2022-2023,Mattia-Perin,Mattia-Perin-Match-Logs
