Squad_Code,Year,Name,Text
af245161,2018-2019,Fabricio,Fabricio-Match-Logs
e1b0a70d,2018-2019,Pietro-Terracciano,Pietro-Terracciano-Match-Logs
fc70e345,2018-2019,Stole-Dimitrievski,Stole-Dimitrievski-Match-Logs
5f0241b2,2018-2019,Sergio-Rico,Sergio-Rico-Match-Logs
4c62d0c8,2018-2019,Mattia-Perin,Mattia-Perin-Match-Logs
ab4449d6,2018-2019,Lukasz-Skorupski,Lukasz-Skorupski-Match-Logs
8778c910,2018-2019,Manuel-Neuer,Manuel-Neuer-Match-Logs
07f55871,2018-2019,Giacomo-Poluzzi,Giacomo-Poluzzi-Match-Logs
61bb7498,2018-2019,Yoel,Yoel-Match-Logs
ee8508c0,2018-2019,Jan-Oblak,Jan-Oblak-Match-Logs
e385200c,2018-2019,Samuel-Sahin-Radlinger,Samuel-Sahin-Radlinger-Match-Logs
ee833569,2018-2019,Etrit-Berisha,Etrit-Berisha-Match-Logs
649b01d8,2018-2019,Emil-Audero,Emil-Audero-Match-Logs
b7e7937d,2018-2019,Diego-Benaglio,Diego-Benaglio-Match-Logs
26975a92,2018-2019,Ludovic-Butelle,Ludovic-Butelle-Match-Logs
8a2248b4,2018-2019,Walter-Benitez,Walter-Benitez-Match-Logs
8417953b,2018-2019,Seydou-Sy,Seydou-Sy-Match-Logs
a01c3d54,2018-2019,Aitor-Fernandez,Aitor-Fernandez-Match-Logs
47064058,2018-2019,Oliver-Baumann,Oliver-Baumann-Match-Logs
4e7db402,2018-2019,Alban-Lafont,Alban-Lafont-Match-Logs
8d957256,2018-2019,Leandro-Chichizola,Leandro-Chichizola-Match-Logs
27d2618c,2018-2019,Rune-Jarstein,Rune-Jarstein-Match-Logs
9f0ea33f,2018-2019,Sergio-Asenjo,Sergio-Asenjo-Match-Logs
65d62814,2018-2019,Antonio-Adan,Antonio-Adan-Match-Logs
0acda699,2018-2019,Francesco-Bardi,Francesco-Bardi-Match-Logs
74419746,2018-2019,Samir-Handanovic,Samir-Handanovic-Match-Logs
20b9f052,2018-2019,Pau-Lopez,Pau-Lopez-Match-Logs
a9dc785c,2018-2019,Neto,Neto-Match-Logs
f6a06749,2018-2019,Carlo-Pinsoglio,Carlo-Pinsoglio-Match-Logs
cac76a72,2018-2019,Stephane-Ruffier,Stephane-Ruffier-Match-Logs
